183,-21
183,-20
183,-16
183,-7
183,-7
183,-9
183,-10
183,-10
183,-10
183,-12
183,-15
183,-20
183,-27
183,-32
183,-35
183,-34
183,-32
183,-26
183,-18
183,-12
183,4
183,6
183,-12
183,-38
183,-76
183,-97
183,-97
164,3551
166,3085
196,-2415
231,-8650
215,-5746
162,3931
133,9064
150,5988
134,8783
242,-10614
239,-10108
215,-5858
193,-1838
211,-5040
157,4686
162,3890
170,2361
217,-6089
216,-5998
153,5490
138,8078
214,-5613
216,-6016
249,-11955
232,-8786
146,6793
153,5480
159,4406
164,3413
224,-7465
218,-6300
198,-2829
189,-1163
147,6620
225,-7632
222,-7119
193,-1858
197,-2670
150,5975
114,12435
121,11123
160,4207
210,-4920
152,5594
218,-6388
230,-8478
238,-9933
160,4255
209,-4815
143,7309
138,8155
208,-4577
201,-3369
198,-2686
146,6786
219,-6465
220,-6694
217,-6263
159,4466
142,7365
150,5998
160,4278
156,4985
152,5663
153,5528
229,-8286
245,-11194
225,-7584
142,7444
144,6991
151,5813
227,-7910
217,-6260
169,2539
148,6275
151,5873
207,-4335
218,-6286
229,-8276
218,-6422
149,6230
134,8854
132,9159
157,4746
209,-4672
227,-7937
219,-6598
209,-4693
137,8252
137,8269
210,-4860
221,-6969
206,-4235
216,-6045
149,6177
203,-3736
219,-6557
206,-4219
142,7359
159,4320
157,4702
166,3158
206,-4145
216,-5961
206,-4186
224,-7447
210,-4867
154,5239
136,8470
151,5825
210,-4965
212,-5250
169,2536
201,-3364
155,5153
209,-4692
231,-8721
215,-5737
150,6064
139,7929
156,4845
202,-3446
220,-6765
221,-6914
203,-3707
159,4338
166,3199
163,3760
163,3611
163,3698
204,-3816
199,-2873
171,2238
163,3698
203,-3738
200,-3157
208,-4605
193,-1920
165,3267
158,4611
168,2784
200,-3103
205,-4010
197,-2612
170,2427
165,3328
196,-2356
197,-2609
199,-2967
173,1940
193,-1878
171,2159
169,2595
175,1514
192,-1776
197,-2573
194,-2028
171,2187
171,2215
171,2203
196,-2415
196,-2349
194,-2090
195,-2168
174,1716
168,2830
193,-1939
193,-1856
193,-1849
174,1647
174,1633
176,1330
187,-869
173,1800
192,-1654
190,-1258
177,1181
176,1260
175,1522
188,-1011
188,-981
194,-1978
190,-1375
171,2283
173,1962
189,-1169
192,-1716
189,-1103
186,-658
178,1065
179,830
188,-953
190,-1345
189,-1115
174,1731
173,1859
185,-496
188,-1034
191,-1577
192,-1630
189,-1112
176,1271
177,1186
178,1057
178,960
190,-1296
190,-1427
188,-1066
179,846
178,996
189,-1159
190,-1268
187,-782
178,940
176,1395
175,1588
180,670
192,-1674
194,-1980
193,-1792
178,911
175,1504
176,1407
180,622
189,-1086
187,-826
185,-409
181,416
178,896
186,-566
189,-1129
189,-1152
180,607
178,900
176,1419
178,956
190,-1423
191,-1462
189,-1157
186,-637
179,770
179,770
180,623
187,-737
187,-844
181,413
180,685
179,824
181,506
187,-793
191,-1461
188,-1001
178,969
176,1421
179,876
185,-469
188,-905
188,-1020
180,652
180,587
182,353
185,-425
186,-592
186,-598
181,370
179,878
181,434
184,-339
186,-634
187,-797
185,-389
184,-274
181,518
181,510
181,512
184,-336
185,-421
184,-341
184,-293
182,300
185,-537
186,-701
187,-780
181,492
179,855
180,586
182,326
187,-848
186,-695
184,-212
180,702
180,596
186,-687
186,-594
185,-505
184,-246
180,572
181,403
184,-302
185,-530
185,-411
184,-290
180,597
181,534
182,312
187,-794
187,-826
186,-599
181,416
178,944
179,765
185,-450
186,-711
187,-862
186,-608
182,333
181,361
182,250
184,-344
185,-492
185,-444
179,787
179,744
182,223
185,-490
186,-562
188,-978
186,-667
181,498
179,740
182,282
182,209
184,-315
185,-412
181,477
181,371
187,-740
186,-642
185,-480
182,330
180,660
179,737
180,649
185,-395
186,-591
185,-536
185,-482
186,-687
185,-436
181,429
180,591
181,535
180,594
182,270
186,-620
186,-548
186,-707
187,-871
186,-614
180,700
179,841
180,713
184,-279
185,-511
184,-354
184,-247
184,-228
185,-431
186,-547
186,-542
183,-151
180,597
181,381
181,393
183,-168
185,-454
186,-631
186,-589
184,-236
182,285
181,457
182,242
184,-268
184,-330
185,-373
181,408
182,313
184,-184
186,-553
187,-768
186,-550
184,-325
184,-220
182,292
181,380
182,350
183,-177
184,-233
182,261
182,308
185,-462
184,-286
184,-316
185,-456
181,390
181,482
182,195
182,341
181,363
184,-188
184,-315
185,-425
186,-561
184,-215
184,-340
184,-186
182,260
182,285
182,248
182,189
184,-274
184,-209
182,224
186,-616
185,-508
185,-400
184,-332
181,482
180,596
182,355
182,301
